name,state,country,category,is_target
Case Western Reserve University,OH,USA,university,false
Castleton State College,VT,USA,university,false
Catawba College,NC,USA,university,false
Catholic Theological Union,IL,USA,university,false
Cazenovia College,NY,USA,university,false
Cedar Crest College,PA,USA,university,false
Cedarville University,OH,USA,university,false
Centenary College,NJ,USA,university,false
Centenary College of Louisiana,LA,USA,university,false
Central Baptist College,AR,USA,university,false
Central Baptist Theological Seminary,KS,USA,university,false
Central Christian College of Kansas,KS,USA,university,false
Central Christian College of the Bible,MO,USA,university,false
Central College,IA,USA,university,false
Central Connecticut State University,CT,USA,university,false
Central Methodist University,MO,USA,university,false
Central Michigan University,MI,USA,university,false
Central Penn College,PA,USA,university,false
Central State University,OH,USA,university,false
Central Washington University,WA,USA,university,false
Centre College,KY,USA,university,false
Chadron State College,NE,USA,university,false
Chamberlain College of Nursing,IL,USA,university,false
Chaminade University,HI,USA,university,false
Champlain College,VT,USA,university,false
Chancellor University,OH,USA,university,false
Chapman University,CA,USA,university,false
Charles R. Drew University of Medicine & Science,CA,USA,university,false
Charleston Southern University,SC,USA,university,false
Charter Oak State College,CT,USA,university,false
Chatham College,PA,USA,university,false
Cherry Hill High School East,NJ,USA,high_school,false
Chester College of New England,NH,USA,university,false
Chestnut Hill College,PA,USA,university,false
Cheyney University,PA,USA,university,false
Chicago State University,IL,USA,university,false
Chicago Theological Seminary,IL,USA,university,false
Chipola College,FL,USA,university,false
Chowan College,NC,USA,university,false
Christ the King Seminary,NY,USA,university,false
Christendom College,VA,USA,university,false
Christian Brothers University,TN,USA,university,false
Christian Theological Seminary,IN,USA,university,false
Christopher Newport University,VA,USA,university,false
Church Divinity School of the Pacific,CA,USA,university,false
Cincinnati Christian University,OH,USA,university,false
City University of Seattle,WA,USA,university,false
Claflin University,SC,USA,university,false
Claremont McKenna College,CA,USA,university,false
Claremont School of Theology,CA,USA,university,false
Clarion University of Pennsylvania,PA,USA,university,false
Clark Atlanta University,GA,USA,university,false
Clark University,MA,USA,university,false
Clarke University,IA,USA,university,false
Clarkson College,NE,USA,university,false
Clarkson University,NY,USA,university,false
Clayton State University,GA,USA,university,false
Clear Creek Baptist Bible College,KY,USA,university,false
Clearwater Christian College,FL,USA,university,false
Cleary University,MI,USA,university,false
Clemson University,SC,USA,university,false
Cleveland Chiropractic College,KS,USA,university,false
Cleveland Institute of Art,OH,USA,university,false
Cleveland Institute of Music,OH,USA,university,false
Cleveland State University,OH,USA,university,false
Coastal Carolina University,SC,USA,university,false
Coe College,IA,USA,university,false
Cogswell Polytechnical College,CA,USA,university,false
Coker College,SC,USA,university,false
Colby College,ME,USA,university,false
Colby-Sawyer College,NH,USA,university,false
Colgate University,NY,USA,university,false
College for Creative Studies,MI,USA,university,false
College for Financial Planning,CO,USA,university,false
College of Biblical Studies-Houston,TX,USA,university,false
College of Central Florida,FL,USA,university,false
College of Charleston,SC,USA,university,false
College of Coastal Georgia,GA,USA,university,false
College of DuPage,IL,USA,university,false
College of Mount Saint Joseph,OH,USA,university,false
College of Mount Saint Vincent,NY,USA,university,false
College of New Rochelle,NY,USA,university,false
College of Notre Dame of Maryland,MD,USA,university,false
College of Saint Benedict,MN,USA,university,false
College of Saint Elizabeth,NJ,USA,university,false
College of Saint Joseph,VT,USA,university,false
College of Saint Mary,NE,USA,university,false
College of Saint Rose,NY,USA,university,false
College of Saint Scholastica,MN,USA,university,false
College of Saints John Fisher & Thomas More,TX,USA,university,false
College of Southern Nevada,NV,USA,university,false
College of Visual Arts,MN,USA,university,false
College of William and Mary,VA,USA,university,false
College of Wooster,OH,USA,university,false
College of the Atlantic,ME,USA,university,false
College of the Holy Cross,MA,USA,university,false
College of the Menominee Nation,WI,USA,university,false
College of the Ozarks,MO,USA,university,false
Colonia High School,NJ,USA,high_school,false
Colorado Christian University,CO,USA,university,false
Colorado College,CO,USA,university,false
Colorado Mesa University,CO,USA,university,false
Colorado School of Mines,CO,USA,university,false
Colorado State University,CO,USA,university,false
Colorado State University-Pueblo,CO,USA,university,false
Colorado Technical University,CO,USA,university,false
Columbia College,MO,USA,university,false
Columbia College,SC,USA,university,false
Columbia College Chicago,IL,USA,university,false
Columbia College of Nursing,WI,USA,university,false
Columbia International University,SC,USA,university,false
Columbia Theological Seminary,GA,USA,university,false
Columbia University,NY,USA,university,false
Columbus College of Art & Design,OH,USA,university,false
Columbus State University,GA,USA,university,false
Conception Seminary College,MO,USA,university,false
Concord University,WV,USA,university,false
Concordia College-Alabama,AL,USA,university,false
Concordia College-Bronxville,NY,USA,university,false
Concordia College-Moorhead,MN,USA,university,false
Concordia College-New York,NY,USA,university,false
Concordia Seminary-Saint Louis,MO,USA,university,false
Concordia Theological Seminary,IN,USA,university,false
Concordia University-Ann Arbor,MI,USA,university,false
Concordia University-Chicago,IL,USA,university,false
Concordia University-Irvine,CA,USA,university,false
Concordia University-Nebraska,NE,USA,university,false
Concordia University-Portland,OR,USA,university,false
Concordia University-Saint Paul,MN,USA,university,false
Concordia University-Texas,TX,USA,university,false
Concordia University-Wisconsin,WI,USA,university,false
Connecticut College,CT,USA,university,false
Converse College,SC,USA,university,false
Conway School of Landscape Design,MA,USA,university,false
Coppin State University,MD,USA,university,false
Corban University,OR,USA,university,false
Corcoran College of Art & Design,DC,USA,university,false
Cornell College,IA,USA,university,false
Cornell University,NY,USA,university,false
Cornerstone University,MI,USA,university,false
Cornish College of the Arts,WA,USA,university,false
Covenant College,GA,USA,university,false
Covenant Theological Seminary,MO,USA,university,false
Cox College,MO,USA,university,false
Cranbrook Academy of Art,MI,USA,university,false
Creighton University,NE,USA,university,false
Criswell College,TX,USA,university,false
Crossroads College,MN,USA,university,false
Crowley's Ridge College,AR,USA,university,false
Crown College,MN,USA,university,false
Culinary Institute of America,NY,USA,university,false
Culver-Stockton College,MO,USA,university,false
Cumberland University,TN,USA,university,false
Cupertino High School,CA,USA,high_school,false
Curry College,MA,USA,university,false
Curtis Institute of Music,PA,USA,university,false
Cypress College,CA,USA,university,false
Daemen College,NY,USA,university,false
Dakota State University,SD,USA,university,false
Dakota Wesleyan University,SD,USA,university,false
Dallas Baptist University,TX,USA,university,false
Dallas Christian College,TX,USA,university,false
Dallas Theological Seminary,TX,USA,university,false
Dalton State College,GA,USA,university,false
Daniel Webster College,NH,USA,university,false
Dartmouth College,NH,USA,university,false
Davenport University,MI,USA,university,false
Davidson College,NC,USA,university,false
Davis & Elkins College,WV,USA,university,false
Davis College,NY,USA,university,false
Daytona State College,FL,USA,university,false
DePaul University,IL,USA,university,false
DePauw University,IN,USA,university,false
DeSales University,PA,USA,university,false
DeVry University,IL,USA,university,false
DeVry University-Addison,IL,USA,university,false
DeVry University-Arlington,VA,USA,university,false
DeVry University-Chicago,IL,USA,university,false
DeVry University-Georgia,GA,USA,university,false
DeVry University-Irving,TX,USA,university,false
DeVry University-Kansas City,MO,USA,university,false
DeVry University-Long Beach,CA,USA,university,false
DeVry University-Orlando,FL,USA,university,false
DeVry University-Phoenix,AZ,USA,university,false
DeVry University-Pomona,CA,USA,university,false
Dean College,MA,USA,university,false
Defiance College,OH,USA,university,false
Delaware State University,DE,USA,university,false
Delaware Valley College,PA,USA,university,false
Delta State University,MS,USA,university,false
Denison High School,TX,USA,high_school,false
Denison University,OH,USA,university,false
Denver Seminary,CO,USA,university,false
Des Moines University-Osteopathic Medical Center,IA,USA,university,false
Dickinson College,PA,USA,university,false
Dickinson State University,ND,USA,university,false
Dillard University,LA,USA,university,false
Divine Word College,IA,USA,university,false
Dixie State College,UT,USA,university,false
Doane College,NE,USA,university,false
Dominican College,NY,USA,university,false
Dominican House of Studies,DC,USA,university,false
Dominican School of Philosophy & Theology,CA,USA,university,false
Dominican University,IL,USA,university,false
Dominican University of California,CA,USA,university,false
Donnelly College,KS,USA,university,false
Dordt College,IA,USA,university,false
Dowling College,NY,USA,university,false
Downingtown East High School,PA,USA,high_school,false
Downingtown STEM Academy - High School,PA,USA,high_school,false
Drake University,IA,USA,university,false
Drew University,NJ,USA,university,false
Drexel University,PA,USA,university,false
Drury University,MO,USA,university,false
Duke University,NC,USA,university,false
Dunwoody College of Technology,MN,USA,university,false
Duquesne University,PA,USA,university,false
DÂ´Youville College,NY,USA,university,false
ECPI University,VA,USA,university,false
ETH Zurich,ZU,CHE,university,false
Earlham College,IN,USA,university,false
East Carolina University,NC,USA,university,false
East Central University,OK,USA,university,false
East Stroudsburg State University of Pennsylvania,PA,USA,university,false
East Tennessee State University,TN,USA,university,false
East Texas Baptist University,TX,USA,university,false
East-West University,IL,USA,university,false
Eastern Connecticut State University,CT,USA,university,false
Eastern Florida State College,FL,USA,university,false
Eastern Illinois University,IL,USA,university,false
Eastern Kentucky University,KY,USA,university,false
Eastern Mennonite University,VA,USA,university,false
Eastern Michigan University,MI,USA,university,false
Eastern Nazarene College,MA,USA,university,false
Eastern New Mexico University,NM,USA,university,false
Eastern Oregon University,OR,USA,university,false
Eastern University,PA,USA,university,false
Eastern Virginia Medical School,VA,USA,university,false
Eastern Washington University,WA,USA,university,false
Eckerd College,FL,USA,university,false
Eden Theological Seminary,MO,USA,university,false
Edgewood College,WI,USA,university,false
Edinboro University of Pennsylvania,PA,USA,university,false
Edison State College,FL,USA,university,false
Edward Waters College,FL,USA,university,false
Elizabeth City State University,NC,USA,university,false
Elizabethtown College,PA,USA,university,false
Ellis University,IL,USA,university,false
Elmhurst College,IL,USA,university,false
Elmira College,NY,USA,university,false
Elms College,MA,USA,university,false
Elon University,NC,USA,university,false
Embry-Riddle Aeronautical University,AZ,USA,university,false
Embry-Riddle Aeronautical University,FL,USA,university,false
Emerson College,MA,USA,university,false
Emmanuel Christian Seminary,TN,USA,university,false
Emmanuel College,GA,USA,university,false
Emmanuel College,MA,USA,university,false
Emmaus Bible College,IA,USA,university,false
Emory & Henry College,VA,USA,university,false
Emory University,GA,USA,university,false
Emporia State University,KS,USA,university,false
Endicott College,MA,USA,university,false
Erikson Institute,IL,USA,university,false
Erskine College,SC,USA,university,false
Eureka College,IL,USA,university,false
Evangel University,MO,USA,university,false
Evangelical Theological Seminary,PA,USA,university,false
Everglades University,FL,USA,university,false
Evergreen State College,WA,USA,university,false
Excelsior College,NY,USA,university,false
Fairfield University,CT,USA,university,false
Fairleigh Dickinson University,NJ,USA,university,false
Fairmont State University,WV,USA,university,false
